"Palavra,Classificacao"
"anelise, substantivo"
"anelito, substantivo"
"anelo, substantivo"
"anemia, substantivo"
"anemometro, substantivo"
"anemona, substantivo"
"anemostrovilos, substantivo"
"aner, verbo"
"anestesico, substantivo"
"aneuploidia, substantivo"
"aneurisma, substantivo"
"anexim, substantivo"
"anexo, substantivo"
"anfemero, substantivo"
"anfetamina, substantivo"
"anfiartrose, substantivo"
"anfibios, substantivo"
"anfibologia, substantivo"
"anficrino, substantivo"
"anfictionia, substantivo"
"anfifilico, substantivo"
"anfipatico, substantivo"
"anfipolis, substantivo"
"anfisbena, substantivo"
"anfiteatro, substantivo"
"anfitriao, substantivo"
"anfora, substantivo"
"anfotericina, substantivo"
"anfotero, substantivo"
"angariar, verbo"
"angela, substantivo"
"angelica, substantivo"
"angelim, substantivo"
"angelo, substantivo"
"angelologia, substantivo"
"angina, substantivo"
"angiologia, substantivo"
"angioplastia, substantivo"
"angiospermas, substantivo"
"angiotensinogenio, substantivo"
"angler, verbo"
"anglicismo, substantivo"
"anglo-saxao, substantivo"
"angra, substantivo"
"angu, substantivo"
"angulo, substantivo"
"angustia, substantivo"
"angustidens, substantivo"
"angustifolia, substantivo"
"anhangabau, substantivo"
"anhanguera, substantivo"
"anhistemi, substantivo"
"anho, substantivo"
"aniagem, substantivo"
"anibal, substantivo"
"aniconismo, substantivo"
"anidrase, substantivo"
"anilina, substantivo"
"anima, substantivo"
"animacao, substantivo"
"animado, substantivo"
"animal, substantivo"
"animal politico, substantivo"
"animar, verbo"
"anime, substantivo"
"animo, substantivo"
"animosidade, substantivo"
"animoso, substantivo"
"animus, substantivo"
"aninhar, verbo"
"anion, substantivo"
"aniquilar, verbo"
"anisoconia, substantivo"
"anisocoria, substantivo"
"anisogamia, substantivo"
"anisometropia, substantivo"
"anisotropia, substantivo"
"anistia, substantivo"
"aniversario, substantivo"
"anjo, substantivo"
"ankh, substantivo"
"annunaki, substantivo"
"ano, substantivo"
"anodino, substantivo"
"anodizar, verbo"
"anodo, substantivo"
"anofeles, substantivo"
"anofelino, substantivo"
"anomalia, substantivo"
"anomalo, substantivo"
"anomia, substantivo"
"anonimo, substantivo"
"anopluro, substantivo"
"anorak, substantivo"
"anorexia, substantivo"
"anormal, substantivo"
"anosmia, substantivo"
"anotar, verbo"
